Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
381			1204	556.4412	2358	556.4419	1003	556.4417	752	556.4426
382			1396	385.3321	2644	385.3321				
383			561	234.1340	1020	234.1348	532	234.1331		
384			990	316.2392			788	316.2391		
385			990	316.2392			859	316.2379		
386			210	249.1602			398	249.1593		
387			981	447.2408			854	447.2379		
388			829	467.3093	840	467.3045	716	467.3098		
389			310	453.2454	737	453.2466	352	453.2447		
390					67	158.0123			32	158.0130
391			1761	356.3887	3646	356.3889	1462	356.3888		
392			700	997.4916	1294	997.4947	619	997.4900		
393			247	783.5164	1103	783.5179	202	783.5172		
394	180	873.5814			3237	873.5817	1368	873.5804	1002	873.5810
395	180	873.5814			3305	873.5860	1368	873.5804	1002	873.5810
396	180	873.5814			3237	873.5817	1309	873.5815	1002	873.5810
397	180	873.5814			3305	873.5860	1309	873.5815	1002	873.5810
398			1000	357.1699	2015	357.1707	865	357.1698		
399			699	996.4871	1318	996.4888	618	996.4870		
400			1675	663.4522	3452	663.4534	1395	663.4523	1007	663.4542
401			873	347.2502	1790	347.2528	772	347.2521		
402	148	764.6391	1531	764.6377	2988	764.6401			916	764.6434
403	148	764.6391	1531	764.6377	3206	764.6437			916	764.6434
404			442	780.3823	862	780.3775	415	780.3815		
405					60	116.9857	27	116.9858		
406			1561	578.4996	3152	578.4997	1285	578.5021		
407			1424	578.4093	2824	578.4109				
408			1237	423.3214			1024	423.3201		
409			299	405.2697	644	405.2607	344	405.2676		
410			357	696.4391	766	696.4393	370	696.4378		
411					2379	408.3338	1020	408.3336		
412			1357	628.5010	2580	628.5015	1129	628.4997		
413			1357	628.5010	2501	628.5010	1129	628.4997		
414			1163	363.3110	2293	363.3117	1019	363.3114		
415			1163	363.3110	2293	363.3117	963	363.3115		
416			1093	281.1658	2216	281.1652			626	281.1648
417			1470	800.5941	2897	800.5948	1204	800.5951	846	800.5961
418			1285	443.3358	2441	443.3358	1072	443.3351		
419			619	133.0645	1173	133.0648	579	133.0650		
420			344	629.3137	683	629.3137	251	629.3157		
421	15	226.0972			28	226.0972	26	226.0974		
422			1443	371.3158	2927	371.3158	1181	371.3154		
423			253	392.2656	643	392.2653	172	392.2662		
424			1111	296.1854	2227	296.1895			633	296.1859
425	21	256.9646			12	256.9645	23	256.9645	19	256.9645
426			1665	666.4654	3455	666.4644	1403	666.4624		
427			1526	471.1048			1258	471.1051		
428			1457	394.2924	2881	394.2939	1197	394.2983	854	394.2926
429			645	850.4287	1234	850.4285	598	850.4291		
430			1152	424.3632	2368	424.3633	967	424.3630	755	424.3626
431			1152	424.3632	2301	424.3634	967	424.3630	755	424.3626
432			1216	424.3628	2368	424.3633	967	424.3630	755	424.3626
433			1216	424.3628	2301	424.3634	967	424.3630	755	424.3626
434			1714	894.5443	3527	894.5439				
435	136	575.3464			3037	575.3514	1232	575.3479	880	575.3469
436	10	462.1476			2	462.1470	1	462.1469	3	462.1473
437	10	462.1476			2	462.1470	15	462.1475	3	462.1473
438			568	734.3785	981	734.3828	500	734.3822		
439			875	288.1957	1786	288.1962	769	288.1959		
440			1247	435.3198	2391	435.3202	1034	435.3199		
441	100	500.3264	1429	500.3255	2815	500.3267	1178	500.3256	810	500.3259
442	100	500.3264	1429	500.3255	2815	500.3267	1178	500.3256	807	500.3257
443			1162	337.3147	2375	337.3155	1018	337.3150		
444			1226	337.3145	2375	337.3155	1018	337.3150		
445			1432	494.4440	2839	494.4433	1179	494.4407		
446			504	636.4171	929	636.4177	468	636.4170		
447	72	312.3628					1152	312.3626		
448	210	768.7101	1632	768.7072			1388	768.7079	1001	768.7084
449			1337	892.6585	2526	892.6611				
450			1739	760.2201	3590	760.2217	1445	760.2199		
451	58	555.1789	1375	555.1777	2613	555.1749	1140	555.1773		
452	196	554.5159	1611	554.5156	3257	554.5162	1349	554.5135	964	554.5139
453			540	837.4188	1046	837.4155	504	837.4184		
454			1296	306.3001	2458	306.3006	1083	306.3008		
455			1320	584.4736	2503	584.4742	1133	584.4742		
456			1360	584.4740	2503	584.4742	1133	584.4742		
457			1019	330.2563	2177	330.2658				
458			1019	330.2563	2058	330.2578				
459			1321	497.4248	2518	497.4243	1106	497.4255		
460			1368	497.4248	2518	497.4243	1106	497.4255		
461			677	306.2183	1704	306.2276	721	306.2176		
462	40	394.3536	1280	394.3523	2433	394.3524	1065	394.3522	762	394.3535
463	40	394.3536	1280	394.3523	2322	394.3524	1065	394.3522	762	394.3535
464			675	891.4556	1263	891.4539	602	891.4565		
465					2093	385.1325			444	385.1314
466			51	239.1491	132	239.1492	54	239.1486		
467			170	436.2927			154	436.2923		
468			480	556.2660	257	556.2627				
469			12	371.1011	21	371.1012	20	371.1015	11	371.1024
470					3004	477.3720	1236	477.3705		
471			1260	389.2670	2415	389.2685	1045	389.2677		
472			1165	864.6274	2316	864.6278	972	864.6262		
473	27	256.9645	34	256.9646	29	256.9626	41	256.9643	35	256.9647
474			1450	803.5389	2898	803.5448	1205	803.5467	848	803.5423
475			850	478.3070			732	478.3078		
476	226	612.1839	1659	612.1835	3418	612.1839	1391	612.1842		
477			1312	256.2632	2490	256.2635	1098	256.2630		
