Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
463			557	877.4369	1012	877.4331	519	877.4373		
464			73	320.1993	269	320.1986	166	320.1970		
465			909	232.1691	1830	232.1699	789	232.1695		
466			490	679.3589	895	679.3597	441	679.3553		
467			237	655.4194	619	655.4201	260	655.4193		
468			181	225.1605	495	225.1591	146	225.1600		
469			204	544.3506	558	544.3513	181	544.3502		
470	117	802.6047	1474	802.6016	2913	802.5977	1207	802.6130		
471			540	837.4188	1046	837.4155	504	837.4184		
472			1192	689.5243	2344	689.5258	998	689.5242		
473			1744	633.5867	3597	633.5871	1442	633.5876		
474			269	589.2910	675	589.2906	239	589.2906		
475			1069	440.3582	2125	440.3589	912	440.3589		
476			1467	475.3517	2893	475.3541	1189	475.3540	842	475.3535
477			149	350.2081	579	350.2079	210	350.2036		
478	41	438.3797	1274	438.3782	2438	438.3787	1070	438.3782	761	438.3795
479			1061	308.2800	2113	308.2801	900	308.2794		
480			724	909.4747	1390	909.4719	639	909.4694		
481			1408	285.2990	2737	285.2976	1160	285.2984		
482			1187	403.2331	2337	403.2337	988	403.2323		
483			227	565.3641	598	565.3651	236	565.3637		
484			939	302.2228	1874	302.2231	806	302.2229		
485			1639	518.4779	3361	518.4789	1382	518.4793		
486			1453	261.1479	2873	261.1491	1192	261.1481	853	261.1486
487			360	708.3679	853	708.3627	330	708.3649		
488			1007	379.1523	2019	379.1530	867	379.1519		
489	173	777.2341	1549	777.2342	3115	777.2366	1270	777.2324		
490			1519	419.3150	3056	419.3157	1249	419.3154	886	419.3185
491			1268	702.5399	2412	702.5388	1043	702.5363		
492			77	211.1441	235	211.1443	81	211.1437		
493			616	882.4574	1131	882.4525	575	882.4535		
494			192	351.2397	580	351.2398	169	351.2400		
495			1025	266.1543	2066	266.1543	884	266.1540		
496			999	238.1163	2014	238.1164	863	238.1154		
497			122	342.2131	320	342.2111	135	342.2128		
498			1355	673.5305	2572	673.5304	1132	673.5305		
499			284	674.3297	699	674.3288	439	674.3382		
500			752	304.2022	911	304.2013	665	304.2021		
501			1065	352.3057	2132	352.3068	908	352.3061		
502			619	133.0645	1173	133.0648	579	133.0650		
503			1478	484.2957			1210	484.2938	863	484.2957
504			270	590.2944	604	590.2948	312	590.2949		
505			1272	526.4314	2423	526.4323	1055	526.4320		
506			958	432.2384	1893	432.2381	815	432.2381		
507			1593	592.5178	3233	592.5157	1338	592.5155		
508			424	504.3398	884	504.3378	383	504.3396		
509			1195	645.4986	2347	645.5010	995	645.4985		
510			886	329.1750	1802	329.1748	775	329.1748		
511			1584	448.3508	3195	448.3512	1318	448.3504		
512			1212	512.4150	2355	512.4158	1006	512.4162	753	512.4161
513			479	548.3659	888	548.3642	425	548.3650		
514			574	794.3976	1072	794.3948	544	794.3927		
515			769	254.1024	1513	254.1026	674	254.1027		
516			1561	578.4996	3152	578.4997	1285	578.5021		
517			1373	480.3904	2617	480.3896	1137	480.3904		
518			1004	358.1735	2016	358.1738	866	358.1736		
519			1270	571.4630	2420	571.4625	1058	571.4619		
520			1198	600.4677	2352	600.4687	999	600.4686	750	600.4702
521			278	632.3136	686	632.3134	254	632.3131		
522			1758	837.2399	3638	837.2397	1461	837.2410		
523			856	363.2190	1724	363.2211	726	363.2205		
524			1012	416.2261	2024	416.2265	871	416.2262		
525					2981	158.0132	1216	158.0122	867	158.0127
526			840	343.2382	1729	343.2386	730	343.2381		
527			1473	280.1619	2876	280.1619			820	280.1599
528			700	997.4916	1294	997.4947	619	997.4900		
529			288	728.4755	769	728.4661	271	728.4709		
530			1052	294.2059	2117	294.2069	899	294.2058		
531	210	768.7101	1632	768.7072			1388	768.7079	1001	768.7084
532			482	592.3917	892	592.3892	427	592.3911		
533			1564	800.5605			1322	800.5586	936	800.5645
534			140	618.2987	487	618.3026	129	618.2983		
535			1128	722.5071	2259	722.5059	953	722.5055		
536	118	803.6094	1476	803.6086			1208	803.6081		
537			1451	149.0238	2870	149.0232	1191	149.0232	821	149.0230
538			124	364.2242	321	364.2248	103	364.2234		
539			1329	409.3716	2522	409.3720	1109	409.3719		
540			1462	429.2414	2885	429.2412	1185	429.2413	835	429.2415
541			384	556.8537	806	556.8534	362	556.8502		
542			1082	402.2102	2158	402.2116	928	402.2110		
543			1055	529.4154	2120	529.4157	904	529.4150		
544			645	850.4287	1234	850.4285	598	850.4291		
545			1577	612.3689	3181	612.3686	1305	612.3691		
546			956	847.4472	1908	847.4508	827	847.4472		
547			551	736.3975	1041	736.3969	523	736.3973		
548			771	335.0446	1515	335.0441	675	335.0453		
549	70	625.5531	1382	625.5523			1128	625.5517		
550			1071	484.3848	2126	484.3853	901	484.3853		
551			607	926.4825	1138	926.4866	563	926.4811		
552			1204	556.4412	2358	556.4419	1003	556.4417	752	556.4426
553			1332	303.2904	2543	303.2898	1120	303.2899		
554	29	297.9916			33	297.9895	42	297.9914		
555			464	691.3598	936	691.3541	448	691.3591		
556			1732	676.6077	3579	676.6103	1439	676.6084		
557			806	688.4440	534	688.4518	696	688.4434		
558			1512	490.4032	3029	490.4015	1221	490.4006		
559			723	866.4492	1388	866.4567	638	866.4519		
560			871	219.1876	1774	219.1873	764	219.1869		
561			731	908.4715	1340	908.4704	650	908.4701		
562			1709	688.2002	3521	688.2027	1421	688.2055		
563			1439	814.6055	2859	814.6043	1325	814.5940	939	814.5995
564			1338	804.6055	2551	804.6088	1123	804.6047		
565			1681	564.4702	3465	564.4719	1407	564.4712		
566			228	594.2478	755	594.2530	241	594.2457		
567	58	555.1789	1375	555.1777	2613	555.1749	1140	555.1773		
568			243	764.3568	566	764.3569	199	764.3558		
569			1437	566.4081	2915	566.4130	1176	566.4101	900	566.4071
570			161	224.1480	464	224.1486	145	224.1486		
571			203	520.3341	555	520.3343	162	520.3345	89	520.3337
572			89	425.2074	382	425.2078	93	425.2111		
573			2	304.2490	19	304.2476	19	304.2484		
574			1613	606.5283	3297	606.5301	1358	606.5320		
575			670	741.3698	1278	741.3775	606	741.3704		
576			767	966.5121	1509	966.5144	677	966.5087		
577			123	344.1960	1243	344.1889	136	344.1951		
578			1167	336.2213	2218	336.2234	892	336.2212		
579			103	325.2233	835	325.2219	101	325.2235		
580			536	724.4732	979	724.4686	515	724.4710		
581			211	334.2130	575	334.2136	167	334.2128		
582			51	239.1491	132	239.1492	54	239.1486		
583			842	372.2644	1735	372.2654	737	372.2657		
584			1091	206.0890	2215	206.0894			620	206.0890
585			1149	362.2481	2287	362.2478	962	362.2481		
586			934	244.1695	1877	244.1698	808	244.1697		
587			900	433.1840	1797	433.1844			233	433.1844
588			323	497.2713	799	497.2720	357	497.2717		
589			242	677.3514	701	677.3451	368	677.3492		
590			695	811.3570	1284	811.3638	616	811.3591		
591			1427	508.3581	2816	508.3585	1174	508.3588		
592			1674	590.5370	3449	590.5371	1401	590.5349		
593			332	557.3547	669	557.3561	307	557.3543		
594			1422	424.3280	2835	424.3288	1171	424.3270	817	424.3266
595			343	615.2952	848	615.3006	249	615.2948		
596			1315	674.4640	2494	674.4626	1099	674.4628		
597			689	848.4207	1286	848.4197	609	848.4209		
598			1319	548.3021	2502	548.3022	1102	548.3021		
599			442	780.3823	862	780.3775	415	780.3815		
600			1215	407.3379	2367	407.3378	1011	407.3359		
601			1094	301.1417	2228	301.1415			627	301.1422
602			1756	835.2393	3636	835.2403	1460	835.2383		
603			1070	441.3616	2137	441.3622	913	441.3616		
604			1032	258.2431	2080	258.2430	889	258.2428		
605			621	617.3222	1150	617.3225	567	617.3220		
606			1199	601.4715	2353	601.4733	1000	601.4714		
607			1279	378.3297	2444	378.3320	1063	378.3317		
608	135	163.1325					1233	163.1329	862	163.1330
609			364	800.4771	719	800.4718	337	800.4698		
610			541	841.3665	1010	841.3659	506	841.3696		
611			1597	532.4114	3254	532.4116	1340	532.4106	958	532.4110
612			1342	320.3164	2555	320.3163	1121	320.3166		
613			344	629.3137	683	629.3137	251	629.3157		
614			608	982.4711	1140	982.4738	550	982.4727		
615			1678	722.5105	3441	722.5102	1399	722.5073		
616			235	633.3187	687	633.3165	255	633.3180		
617			423	502.2874	1248	502.2963	464	502.2914		
618			49	385.1905	123	385.1914	50	385.1916		
619			308	445.2820	735	445.2826	220	445.2821		
620			371	389.7480	792	389.7437	288	389.7471		
621			167	379.2441	728	379.2478	151	379.2429		
622			1621	562.5054	3334	562.5049	1372	562.5048		
623			232	608.3852	609	608.3860	246	608.3874		
624			1353	332.2800	2561	332.2798	1126	332.2805		
625			1235	398.2454			1041	398.2439	731	398.2403
626			191	347.2167	638	347.2160	209	347.2167		
627			1435	564.3973	2856	564.3967	1163	564.3937	879	564.3895
628			1347	760.5796	2558	760.5792	1124	760.5800		
629			1525	313.3292	3093	313.3295	1262	313.3301		
630			1109	205.0859	2224	205.0865	937	205.0859	619	205.0863
631			847	218.1538	1738	218.1543	741	218.1531		
632			948	474.2678	1903	474.2681	822	474.2683		
633			666	324.2382	1241	324.2388	603	324.2382		
634			357	696.4391	766	696.4393	370	696.4378		
635			1729	329.3606	3570	329.3605	1436	329.3608		
636			171	450.3094	548	450.3109	156	450.3082		
637			84	403.1585	328	403.1590	91	403.1584		
638			1262	447.3204	2416	447.3218	1048	447.3200		
639			1493	355.3684	2970	355.3693	1226	355.3684		
640			463	690.3563	896	690.3564	447	690.3555		
641			169	435.2883	511	435.2929	175	435.2877		
642			166	378.2400	501	378.2392	150	378.2398		
643			546	173.0803	1017	173.0795	530	173.0804		
644			1598	533.4112	3255	533.4109	1341	533.4110		
645			1281	395.3557	2434	395.3567	1066	395.3559		
646			1690	532.4383	3483	532.4386	1414	532.4387	1013	532.4400
647			576	797.3421	1104	797.3522	527	797.3428		
648			1190	461.2868	2339	461.2862	992	461.2859		
649			1310	448.3336	2461	448.3352	1092	448.3324		
650			673	808.4113	1259	808.4085	604	808.4122		
651			1591	490.4496	3231	490.4477	1335	490.4499		
652			1238	230.1533	2396	230.1538	1026	230.1543		
653			1330	282.2796	2528	282.2794	1113	282.2790		
